2022-02-13 13:36:17+00:00,"b""@tinylseo \xf0\x9f\x91\x80 woah so hard to find someone like pineapple on pizza, it's so good!"""
2022-02-13 13:33:41+00:00,b'RT @RickToons_Anim: Ok let me be honest\n\nPineapple on Pizza is amazing you\xe2\x80\x99re missing out'
2022-02-13 13:32:22+00:00,b'@lovewjeon TAMAH PERO AUKO TLG NG PINEAPPLE SA PIZZA'
2022-02-13 13:31:45+00:00,b'you thought you were sick of people talking about The Office on Hinge? come over to Minder where everyone is obsessed w the pineapple on pizza prompt instead!'
2022-02-13 13:30:57+00:00,b'RT @RickToons_Anim: Ok let me be honest\n\nPineapple on Pizza is amazing you\xe2\x80\x99re missing out'
2022-02-13 13:30:50+00:00,b'@mcdonnelljp Pineapple on pizza is the boss.'
2022-02-13 13:30:28+00:00,b'Pineapple behind Pizza.'
2022-02-13 13:29:12+00:00,"b""@TheFamousArtBR It's a lack of respect. I respect other people may have opinions that differ from mine; some of those opinions may even be wrong (pineapple on pizza? Anathema!), but that's pluralism baby. I often disagree with people on the left, but I don't dislike them on that basis."""
2022-02-13 13:28:24+00:00,"b'@DlSCOKTH Okay lang naman po ako kung may pineapple o wala basta pizza, makakain\xf0\x9f\xa4\xa9'"
2022-02-13 13:28:13+00:00,"b""@seagrapejelly @little_nikki Pineapple isn't even native to Hawaii.\n\nThe Canadians invented pineapple on pizza, then had the audacity to lay blame on Hawaii."""
2022-02-13 13:26:50+00:00,b'been ia this whole afternoon\nlomls interact w me skksksks\n\npineapple on pizza\nyay or nay??'
2022-02-13 13:26:30+00:00,b'RT @jakevictor_: Hey\xe2\x80\xa6\n\nCheck for the market demand of your product\n\nBefore you build it\xe2\x80\xa6\n\nAnd before you run an expensive marketing campaig\xe2\x80\xa6'
2022-02-13 13:25:53+00:00,b'@HellaTamaryn Pineapple on my Pizza \xf0\x9f\x8d\x95'
2022-02-13 13:23:44+00:00,b'how do people not like pineapple on pizza?'
2022-02-13 13:23:27+00:00,b'@JxstMellow Pineapple pizza is bomb'
2022-02-13 13:20:55+00:00,b'@Eunicedwong Want pineapple on pizza?'
2022-02-13 13:18:49+00:00,b'@FotiniOfficial @harukamylove Pineapple pizza is gooddddr'
2022-02-13 13:17:49+00:00,b'@IndigoRun @KevyKev2021 HBD!!! Go get a pizza with pineapple on it to celebrate!'
